name,l,b,RA,Dec,size,type,flux,s
G329.7+0.4,329.7,+0.4,16 01 20,-52 18,40x33,S,&gt;34?,?
G330.0+15.0,330.0,+15.0,15 10 00,-40 00,180?,S,350?,0.5?
G330.2+1.0,330.2,+1.0,16 01 06,-51 34,11,S?,5?,0.3
G332.0+0.2,332.0,+0.2,16 13 17,-50 53,12,S,8?,0.5
G332.4-0.4,332.4,-0.4,16 17 33,-51 02,10,S,28,0.5
G332.4+0.1,332.4,+0.1,16 15 20,-50 42,15,S,26,0.5
G332.5-5.6,332.5,-5.6,16 43 20,-54 30,35,S,2?,0.7?
G335.2+0.1,335.2,+0.1,16 27 45,-48 47,21,S,16,0.5
G336.7+0.5,336.7,+0.5,16 32 11,-47 19,14x10,S,6,0.5
G337.0-0.1,337.0,-0.1,16 35 57,-47 36,1.5,S,1.5,0.6?
G337.2-0.7,337.2,-0.7,16 39 28,-47 51,6,S,1.5,0.4
G337.2+0.1,337.2,+0.1,16 35 55,-47 20,3x2,?,1.5?,?
G337.3+1.0,337.3,+1.0,16 32 39,-46 36,15x12,S,16,0.55
G337.8-0.1,337.8,-0.1,16 39 01,-46 59,9x6,S,15,0.5
G338.1+0.4,338.1,+0.4,16 37 59,-46 24,15?,S,4?,0.4
G338.3-0.0,338.3,-0.0,16 41 00,-46 34,8,C?,7?,?
G338.5+0.1,338.5,+0.1,16 41 09,-46 19,9,?,12?,?
G340.4+0.4,340.4,+0.4,16 46 31,-44 39,10x7,S,5,0.4
G340.6+0.3,340.6,+0.3,16 47 41,-44 34,6,S,5?,0.4?
G341.2+0.9,341.2,+0.9,16 47 35,-43 47,22x16,C,1.5?,0.6?
G341.9-0.3,341.9,-0.3,16 55 01,-44 01,7,S,2.5,0.5
G342.0-0.2,342.0,-0.2,16 54 50,-43 53,12x9,S,3.5?,0.4?
G342.1+0.9,342.1,+0.9,16 50 43,-43 04,10x9,S,0.5?,?
G343.0-6.0,343.0,-6.0,17 25 00,-46 30,250,S,?,?
G343.1-2.3,343.1,-2.3,17 08 00,-44 16,32?,C?,8?,0.5?
G343.1-0.7,343.1,-0.7,17 00 25,-43 14,27x21,S,7.8,0.55
G344.7-0.1,344.7,-0.1,17 03 51,-41 42,8,C?,2.5?,0.3?
G345.1-0.2,345.1,-0.2,17 05 21,-41 26,6,S,1.4?,0.7?
G345.1+0.2,345.1,+0.2,17 03 40,-41 05,10,S,0.6?,0.6?
G345.7-0.2,345.7,-0.2,17 07 20,-40 53,6,S,0.6?,?
G346.6-0.2,346.6,-0.2,17 10 19,-40 11,8,S,8?,0.5?
G347.3-0.5,347.3,-0.5,17 13 50,-39 45,65x55,S?,30?,?
G348.5-0.0,348.5,-0.0,17 15 26,-38 28,10?,S?,10?,0.4?
G348.5+0.1,348.5,+0.1,17 14 06,-38 32,15,S,72,0.3
G348.7+0.3,348.7,+0.3,17 13 55,-38 11,17?,S,26,0.3
G348.8+1.1,348.8,+1.1,17 11 29,-37 36,10,S,0.6?,0.7?
G349.2-0.1,349.2,-0.1,17 17 15,-38 04,9x6,S,1.4?,?
G349.7+0.2,349.7,+0.2,17 17 59,-37 26,2.5x2,S,20,0.5
G350.0-2.0,350.0,-2.0,17 27 50,-38 32,45,S,26,0.4
G350.1-0.3,350.1,-0.3,17 21 05,-37 27,4?,?,6?,0.8?
G351.0-5.4,351.0,-5.4,17 46 00,-39 25,30,S,?,?
G351.2+0.1,351.2,+0.1,17 22 27,-36 11,7,C?,5?,0.4
G351.7+0.8,351.7,+0.8,17 21 00,-35 27,18x14,S,10,0.5?
G351.9-0.9,351.9,-0.9,17 28 52,-36 16,12x9,S,1.8?,?
G352.7-0.1,352.7,-0.1,17 27 40,-35 07,8x6,S,4,0.6
G353.3-1.1,353.3,-1.1,17 33 10,-35 12,60,S,24?,0.85?
G353.6-0.7,353.6,-0.7,17 32 00,-34 44,30,S,2.5?,?
G353.9-2.0,353.9,-2.0,17 38 55,-35 11,13,S,1?,0.5?
G354.1+0.1,354.1,+0.1,17 30 28,-33 46,15x3?,C?,?,varies
G354.8-0.8,354.8,-0.8,17 36 00,-33 42,19,S,2.8?,?
G355.4+0.7,355.4,+0.7,17 31 20,-32 26,25,S,5?,?
G355.6-0.0,355.6,-0.0,17 35 16,-32 38,8x6,S,3?,?
G355.9-2.5,355.9,-2.5,17 45 53,-33 43,13,S,8,0.5
G356.2+4.5,356.2,+4.5,17 19 00,-29 40,25,S,4,0.7
G356.3-1.5,356.3,-1.5,17 42 35,-32 52,20x15,S,3?,?
G356.3-0.3,356.3,-0.3,17 37 56,-32 16,11x7,S,3?,?
G357.7-0.1,357.7,-0.1,17 40 29,-30 58,8x3?,?,37,0.4
G357.7+0.3,357.7,+0.3,17 38 35,-30 44,24,S,10,0.4?
G358.0+3.8,358.0,+3.8,17 26 00,-28 36,38,S,1.5?,?
G358.1+1.0,358.1,+1.0,17 37 00,-29 59,20,S,2?,?
G358.5-0.9,358.5,-0.9,17 46 10,-30 40,17,S,4?,?
G359.0-0.9,359.0,-0.9,17 46 50,-30 16,23,S,23,0.5
G359.1-0.5,359.1,-0.5,17 45 30,-29 57,24,S,14,0.4?
G359.1+0.9,359.1,+0.9,17 39 36,-29 11,12x11,S,2?,?
G359.2-1.1,359.2,-1.1,17 48 14,-30 12,5x4,S?,0.4?,1.1?
