P1,P0,P0_ERR,P1_ERR,PSRJ
4e-16,1.21409,,1e-16,J0711+0931
1.4907307378294814e-20,0.0054909685076555345,1.8090441091238907e-17,1.8090441091238908e-25,J0711-6830
7.2819e-15,0.974724730631,9e-12,7e-19,J0719-2545
6.98e-14,8.39111553,3e-08,3e-16,J0720-3125
4.4e-20,0.015542394974,8e-14,4e-21,J0721-2038
9.263966786371277e-17,0.42431140318340005,1.0802410012287952e-12,1.0802410012287963e-20,J0725-1635
2.9311e-13,3.4423084877,4e-10,4e-17,J0726-2612
1.1335591693680096e-13,0.25170865575972134,1.9007174215309773e-13,1.9007174292407156e-21,J0729-1448
1.8957130505798164e-14,0.5101603448262563,2.342372196899202e-11,1.821845042115882e-19,J0729-1836
6.0225196868966266e-21,0.004090137082359298,,,J0732+2314
5.704474964456162e-15,1.7962497011679064,9.679538966837379e-11,9.679538966837398e-18,J0733-2345
1.220703125e-14,0.15625,,,J0734-1559
1.519e-13,4.8628739612,7e-10,3e-16,J0736-6304
5.468833946777706e-15,0.320366370454313,4.105384452722804e-12,1.0263461131816582e-19,J0737-2202
1.75992816585624e-18,0.022699378599623916,1.0305235776181283e-15,5.1526178880906423e-23,J0737-3039A
8.922818185990698e-16,2.773460770066061,7.692084643095429e-11,7.69208464309543e-18,J0737-3039B
2.6968159536958472e-14,6.827692802169157,4.661738900079251e-10,3.729391120063419e-17,J0738+6904
1.6164974874724958e-15,0.3749199900120715,7.028249945532591e-10,4.216949967323909e-18,J0738-4042
1.2190506845118023e-20,0.002885736411412693,4.996484781691803e-18,1.665494927230601e-25,J0740+6620
6.6919741123571124e-21,0.0031391369352910497,2.956254209552545e-16,3.941672279403394e-24,J0742+4110
3.71e-16,0.606190680037,6e-12,2e-18,J0742+4334
1.6821118948998273e-14,0.16676229157216363,1.946676332327952e-11,1.390483095074548e-19,J0742-2822
9.56355490030629e-16,0.09199632014719412,,,J0744-2525
2.186860780502591e-15,0.21483850578191938,4.615558356660781e-12,6.461781699331925e-20,J0745-5353
1.666e-14,2.79102517845,5e-11,5e-18,J0746-4529
6.781764478211989e-16,0.40770052440883003,4.98659152809705e-12,3.3243943520647005e-18,J0747+6646
8.306220733849003e-17,1.174929283962068,2.7609176446232353e-13,2.760917644623235e-20,J0749+5720
9.77e-16,1.09545215761,1.4e-11,4e-19,J0749-4247
1.096444537039532e-16,0.9152158036117475,6.700959737445574e-11,6.7009597374455755e-19,J0750-6846
7.786993673259013e-21,0.0034787708392793647,1.2101846552220456e-17,7.261107931332273e-26,J0751+1807
1.07986494552908e-15,1.442349479142921,2.0803720199838555e-12,1.6642976159871135e-20,J0754+3231
1.6188896856032737e-15,0.6822651758059591,1.396457310352609e-12,1.3964573103527665e-20,J0758-1528
3.838817911293354e-16,1.091869715468353,1.0729615280012478e-11,2.3843589511138843e-18,J0758-3002
2.7622443235128537e-15,0.273972602739726,,,J0802-5613
1.1610965725914567e-15,0.5712565591549804,1.3053362255103504e-11,1.631670281887939e-18,J0803-0942
4.21e-15,2.19198689593,1.5e-10,3e-17,J0804-3647
5.559284074609818e-14,11.370385928090423,1.1635710853834503e-07,2.9735705515354863e-14,J0806-4123
3.78e-16,0.52664353143,3e-11,1e-18,J0807-5421
4.01e-16,0.86634928471,3e-11,3e-18,J0808-3937
3.0763454504023684e-15,0.5472021186838315,2.99430158692074e-12,2.9943015869207593e-19,J0809-4753
4.49e-17,0.482595929159,4e-12,1.2e-18,J0812-3905
1.6811430018179736e-16,1.2922414468619536,2.1708543440842376e-12,1.3359103655903013e-20,J0814+7429
1.39e-16,0.645161,,6e-18,J0815+0939
3.9e-18,0.4342422517307,2e-13,1e-19,J0815+4611
5.8e-16,0.7637418483,5e-10,2.4e-16,J0818-3049
7.534e-16,2.161258926939,1.5e-11,5e-19,J0818-3232
2.1051775920558595e-15,1.2381295438681763,7.664823836996092e-13,6.131859069597427e-21,J0820-1350
2.4425732293258675e-15,0.1248366735581017,4.675258519515615e-13,7.792097532526238e-20,J0820-3826
1.2169e-14,1.07356658405,4e-11,4e-18,J0820-3921
1.975472103990403e-17,0.5454455601017385,2.0825760132428943e-10,5.950217180694175e-20,J0820-4114
3.47811e-15,0.3967282353771,1.9e-12,7e-20,J0821-4221
9.288313457072022e-18,0.11279945507174324,5.0894868257928895e-12,3.817115119344667e-19,J0821-4300
1.0455015043028665e-16,0.8648728046988048,8.228054651383346e-13,5.984039746460618e-21,J0823+0159
1.4689038147261773e-19,0.009861348670367318,9.724619759855526e-16,1.9449239519711054e-23,J0824+0028
1.7093155124834842e-15,0.5306605116860001,2.5344052079656274e-11,8.448017359901201e-20,J0826+2637
9.962878563967333e-16,1.848918803654907,1.0255502227526076e-10,4.444050965261437e-19,J0828-3417
1.279e-15,0.311673518473,1.1e-11,6e-18,J0831-4406
4.280875948208423e-15,0.12111775926493869,1.7603413931231568e-12,2.933902324510857e-21,J0834-4159
9.778439691300547e-15,0.5414043736269504,1.4655934789119525e-11,8.79356087347173e-18,J0835-3707
